Date,open_sp,high_sp,low_sp,close_sp,volume_sp
"Feb 03, 2017","2288.54","2298.31","2287.88","2297.42","3605970000"
"Feb 02, 2017","2276.69","2283.97","2271.65","2280.85","3809760000"
"Feb 01, 2017","2285.59","2289.14","2272.44","2279.55","3919190000"
"Jan 31, 2017","2274.02","2279.09","2267.21","2278.87","4089730000"
"Jan 30, 2017","2286.01","2286.01","2268.04","2280.90","3595040000"
"Jan 27, 2017","2299.02","2299.02","2291.62","2294.69","3137420000"
"Jan 26, 2017","2298.63","2300.99","2294.08","2296.68","3611510000"
"Jan 25, 2017","2288.88","2299.55","2288.88","2298.37","3849340000"
"Jan 24, 2017","2267.88","2284.63","2266.68","2280.07","3816950000"
"Jan 23, 2017","2267.78","2271.78","2257.02","2265.20","3155240000"
"Jan 20, 2017","2269.96","2276.96","2265.01","2271.31","3536850000"
"Jan 19, 2017","2271.90","2274.33","2258.41","2263.69","3168390000"
"Jan 18, 2017","2269.14","2272.01","2263.35","2271.89","3317670000"
"Jan 17, 2017","2269.14","2272.08","2262.81","2267.89","3586950000"
"Jan 13, 2017","2272.74","2278.68","2271.51","2274.64","3090680000"
"Jan 12, 2017","2271.14","2271.78","2254.25","2270.44","3466220000"
"Jan 11, 2017","2268.60","2275.32","2260.83","2275.32","3625080000"
"Jan 10, 2017","2269.72","2279.27","2265.27","2268.90","3640560000"
"Jan 09, 2017","2273.59","2275.49","2268.90","2268.90","3219730000"
"Jan 06, 2017","2271.14","2282.10","2264.06","2276.98","3342080000"
"Jan 05, 2017","2268.18","2271.50","2260.45","2269.00","3785080000"
"Jan 04, 2017","2261.60","2272.82","2261.60","2270.75","3768890000"
"Jan 03, 2017","2251.57","2263.88","2245.13","2257.83","3773010000"
"Dec 30, 2016","2251.61","2253.58","2233.62","2238.83","2671550000"
"Dec 29, 2016","2249.50","2254.51","2244.56","2249.26","2338700000"
"Dec 28, 2016","2270.23","2271.31","2249.11","2249.92","2402750000"
"Dec 27, 2016","2266.23","2273.82","2266.15","2268.88","1989730000"
"Dec 23, 2016","2260.25","2263.79","2258.84","2263.79","2021230000"
"Dec 22, 2016","2262.93","2263.18","2256.08","2260.96","2880670000"
"Dec 21, 2016","2270.54","2271.23","2265.15","2265.18","2854880000"
"Dec 20, 2016","2266.50","2272.56","2266.14","2270.76","3306250000"
"Dec 19, 2016","2259.24","2267.47","2258.21","2262.53","3252840000"
"Dec 16, 2016","2266.81","2268.05","2254.24","2258.07","5928980000"
"Dec 15, 2016","2253.77","2272.12","2253.77","2262.03","4173360000"
"Dec 14, 2016","2268.35","2276.20","2248.44","2253.28","4409670000"
"Dec 13, 2016","2263.32","2277.53","2263.32","2271.72","3875630000"
"Dec 12, 2016","2258.83","2264.03","2252.37","2256.96","4038850000"
"Dec 09, 2016","2249.73","2259.80","2249.23","2259.53","3886460000"
"Dec 08, 2016","2241.13","2251.69","2237.57","2246.19","4203270000"
"Dec 07, 2016","2210.72","2241.63","2208.93","2241.35","4504070000"
"Dec 06, 2016","2207.26","2212.78","2202.21","2212.23","3857290000"
"Dec 05, 2016","2200.65","2209.42","2199.97","2204.71","3898530000"
"Dec 02, 2016","2191.12","2197.95","2188.37","2191.95","3782370000"
"Dec 01, 2016","2200.17","2202.60","2187.44","2191.08","5067470000"
"Nov 30, 2016","2204.97","2214.10","2198.81","2198.81","5538400000"
"Nov 29, 2016","2200.76","2210.46","2198.15","2204.66","3709190000"
"Nov 28, 2016","2210.21","2211.14","2200.36","2201.72","3515100000"
"Nov 25, 2016","2206.27","2213.35","2206.27","2213.35","1584590000"
"Nov 23, 2016","2198.55","2204.72","2194.51","2204.72","3419850000"
"Nov 22, 2016","2201.56","2204.80","2194.51","2202.94","3960520000"
"Nov 21, 2016","2186.43","2198.70","2186.43","2198.18","3611500000"
"Nov 18, 2016","2186.85","2189.89","2180.38","2181.90","3580900000"
"Nov 17, 2016","2178.61","2188.06","2176.65","2187.12","3811730000"
"Nov 16, 2016","2177.53","2179.22","2172.20","2176.94","3847900000"
"Nov 15, 2016","2168.29","2180.84","2166.38","2180.39","4548110000"
"Nov 14, 2016","2165.64","2171.36","2156.08","2164.20","5373670000"
"Nov 11, 2016","2162.71","2165.92","2152.49","2164.45","4993990000"
"Nov 10, 2016","2167.49","2182.30","2151.17","2167.48","6458450000"
"Nov 09, 2016","2131.56","2170.10","2125.35","2163.26","6267590000"
"Nov 08, 2016","2129.92","2146.87","2123.56","2139.56","3921850000"
"Nov 07, 2016","2100.59","2132.00","2100.59","2131.52","3739720000"
"Nov 04, 2016","2083.79","2099.07","2083.79","2085.18","3841910000"
"Nov 03, 2016","2098.80","2102.56","2085.23","2088.66","3892100000"
"Nov 02, 2016","2109.43","2111.76","2094.00","2097.94","4289120000"
"Nov 01, 2016","2128.68","2131.45","2097.85","2111.72","4539190000"
"Oct 31, 2016","2129.78","2133.25","2125.53","2126.15","3926560000"
"Oct 28, 2016","2132.23","2140.72","2119.36","2126.41","4028270000"
"Oct 27, 2016","2144.06","2147.13","2132.52","2133.04","4209400000"
"Oct 26, 2016","2136.97","2145.73","2131.59","2139.43","3778120000"
"Oct 25, 2016","2149.72","2151.44","2141.93","2143.16","3756200000"
"Oct 24, 2016","2148.50","2154.79","2146.91","2151.33","3359950000"
"Oct 21, 2016","2139.43","2142.63","2130.09","2141.16","3456390000"
"Oct 20, 2016","2142.51","2147.18","2133.44","2141.34","3339320000"
"Oct 19, 2016","2140.81","2148.44","2138.15","2144.29","3364990000"
"Oct 18, 2016","2138.31","2144.38","2135.49","2139.60","3172940000"
"Oct 17, 2016","2132.95","2135.61","2124.43","2126.50","2832440000"
"Oct 14, 2016","2139.68","2149.19","2132.98","2132.98","3187910000"
"Oct 13, 2016","2130.26","2138.19","2114.72","2132.55","3538030000"
"Oct 12, 2016","2137.67","2145.36","2132.77","2139.18","2959510000"
"Oct 11, 2016","2161.35","2161.56","2128.84","2136.73","3393060000"
"Oct 10, 2016","2160.39","2169.60","2160.39","2163.66","2881970000"
"Oct 07, 2016","2164.19","2165.86","2144.85","2153.74","3578770000"
"Oct 06, 2016","2158.22","2162.93","2150.28","2160.77","3438040000"
"Oct 05, 2016","2155.15","2163.95","2155.15","2159.73","3883710000"
"Oct 04, 2016","2163.37","2165.46","2144.01","2150.49","3716100000"
"Oct 03, 2016","2164.33","2164.41","2154.77","2161.20","3113850000"
"Sep 30, 2016","2156.51","2175.30","2156.51","2168.27","4158800000"
